"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","gene"
"AL353593.3",4.64845191281995e-09,0.182344190543196,0.125,0.302,0.000270549198229947,"up","AL353593.3"
"DOCK2",4.65886454191312e-09,0.437087121510428,0.271,0.453,0.000271155234068427,"up","DOCK2"
"AP001429.1",4.663422839185e-09,0.175445664371333,0.271,0.5,0.000271420536086245,"up","AP001429.1"
"AC110619.1",4.68846060136618e-09,0.148510252192853,0.125,0.321,0.000272877783920715,"up","AC110619.1"
"LINC02688",4.70658034629412e-09,0.166760558427514,0.135,0.255,0.00027393238931501,"up","LINC02688"
"AL671710.1",4.72878637436544e-09,0.287859736344457,0.229,0.434,0.000275224824560817,"up","AL671710.1"
"AC105020.5",4.74732973451482e-09,0.164209199685478,0.188,0.434,0.000276304085208232,"up","AC105020.5"
"HCG15",4.78481258855521e-09,0.142308449660918,0.104,0.302,0.00027848566227909,"up","HCG15"
"AC090220.1",4.82355188971433e-09,0.191508799200284,0.188,0.349,0.000280740367085154,"up","AC090220.1"
"LINC01799",4.82516268152818e-09,0.290296927621181,0.271,0.415,0.000280834118390303,"up","LINC01799"
"C1orf167",4.83179385295182e-09,0.146647551776351,0.219,0.415,0.000281220065829502,"up","C1orf167"
"AC004784.1",4.8434506884173e-09,0.405303288320228,0.271,0.349,0.000281898516967264,"up","AC004784.1"
"AC114760.2",4.85600031217631e-09,0.192161266387115,0.167,0.406,0.000282628930169285,"up","AC114760.2"
"LINC02145",4.85916472359027e-09,0.23177720401838,0.26,0.425,0.000282813105242401,"up","LINC02145"
"STARD4-AS1",4.88330979753096e-09,0.478359873912576,0.698,0.896,0.000284218396835897,"up","STARD4-AS1"
"APOBEC3C",4.89693908850756e-09,1.09010848729959,0.51,0.84,0.000285011648829317,"up","APOBEC3C"
"GIMAP8",4.93006571821329e-09,0.153401797315385,0.115,0.349,0.00028693968493145,"up","GIMAP8"
"TSHR",4.94065709840442e-09,1.13706761966592,0.583,0.755,0.000287556124441334,"up","TSHR"
"RAB6C",4.95680054899569e-09,0.149960013374193,0.26,0.585,0.000288495705552647,"up","RAB6C"
"AC024560.3",4.9590007398192e-09,0.2237930138468,0.365,0.566,0.000288623761058957,"up","AC024560.3"
"AC138028.2",4.96715366344326e-09,0.146065739245744,0.177,0.443,0.000289098277519725,"up","AC138028.2"
"AC080013.3",4.97769257836478e-09,0.221745624401529,0.323,0.434,0.000289711663445987,"up","AC080013.3"
"BACH1-IT1",4.98473543019399e-09,0.24266367028534,0.219,0.462,0.000290121571508151,"up","BACH1-IT1"
"LINC02172",5.05224200594451e-09,0.33763649633179,0.188,0.302,0.000294050589229982,"up","LINC02172"
"AL357568.1",5.10765212016812e-09,0.144570104211898,0.156,0.358,0.000297275568698025,"up","AL357568.1"
"LDLRAD2",5.1171526088802e-09,0.170127870723164,0.104,0.274,0.000297828516142045,"up","LDLRAD2"
"AC008149.2",5.11801001028082e-09,0.170880639892198,0.25,0.415,0.000297878418618365,"up","AC008149.2"
